Data,fontes_cri_br,fontes_lci_br,fontes_lh_br,fontes_lig_br,fontes_sbpe_saldo_br,ano,fgts
2014-12-31,46984403605.33,150908631060.54,1368525621.91,,522343501310.0,2014,410386357717.16
2015-12-31,60566366361.45,190536647822.09,1042022285.35,,509223044900.0,2015,457608646527.56
2016-12-31,73661353884.45,183433778001.01,1137673416.32,,515955430200.0,2016,505281518213.96
2017-12-31,73791526975.07,183470359835.98,1090943494.13,,563741675710.0,2017,496855039333.38
2018-12-31,78288083589.17,156374493191.32,1101828106.95,2019087368.02,618146063840.0,2018,529210216975.7
2019-12-31,77064732186.44,141876813145.53,1039509483.46,11192305651.67,657531442210.0,2019,536023492180.31
2020-12-31,79444000275.92,121290895759.87,1099886107.03,20209257196.13,801437985510.0,2020,565694064822.23
2021-12-31,105656479611.61,140924871707.65,,47606306224.38,790109013750.0,2021,613483764018.89
2022-12-31,149503759190.88,238693856866.41,419768445.74,88571039427.48,763815066690.0,2022,648955141346.93
2023-12-31,182261485232.29,360403177487.68,784220412.08,109921805711.15,747081247000.0,2023,695337882190.78
