BB,BRADESCO,ITAU,SANTANDER,CAIXA
10115058.0,9894756.0,18048187.0,11812395.0,197123593.0
18251675.0,12824364.0,19976715.0,15702015.0,261219780.0
28166488.0,17300389.0,25668121.0,21318334.0,327298759.0
36841041.0,21825559.0,31986087.0,25931863.0,369700557.0
41441723.0,30763001.0,35198390.0,27153241.0,391140031.0
44074972.0,32397041.0,37384544.0,28112463.0,417287399.0
48047558.0,37429489.0,40217902.0,32438358.0,432300909.0
48901755.0,43823298.0,44729530.0,37218524.0,454593111.0
46714556.0,56399664.0,55381207.0,43993132.0,500620657.0
46064152.0,74417540.0,85377307.0,52992797.0,545738170.0
45979437.0,80720202.0,105804491.0,56270817.0,619703291.0
46722080.0,83548678.0,112791593.0,58654751.0,684546660.0
